age,controls,patients
0.0,3.060162302140185e-44,3.060162302140586e-44
0.5,2.86277066828118e-41,2.8627706682821464e-41
1.0,2.0909492247652474e-38,2.0909492247670664e-38
1.5,1.1923815427509991e-35,1.1923815427536697e-35
2.0,5.3088668471247826e-33,5.308866847155364e-33
2.5,1.8454541124418e-30,1.845454112469108e-30
3.0,5.00863632477188e-28,5.008636324962019e-28
3.5,1.061330333718041e-25,1.0613303338212585e-25
4.0,1.7558866827014345e-23,1.75588668313824e-23
4.5,2.268074016263115e-21,2.2680740177039506e-21
5.0,2.287350886288102e-19,2.287350889992069e-19
5.5,1.8010393069406272e-17,1.8010393143600455e-17
6.0,1.1072059810840683e-15,1.1072059926621033e-15
6.5,5.314329667402864e-14,5.314329808124342e-14
7.0,1.9915142052148385e-12,1.9915143383910807e-12
7.5,5.82684149332763e-11,5.826842474378198e-11
8.0,1.3310610106499846e-09,1.3310615729673902e-09
8.5,2.3739846613127552e-08,2.3739871679022498e-08
9.0,3.305777762881732e-07,3.305786446971116e-07
9.5,3.59407265065615e-06,3.5940960146280086e-06
10.0,3.0508578856063092e-05,3.0509066451721267e-05
10.5,0.00020220465927031707,0.00020221253986328074
11.0,0.001046471186077426,0.0010465695814459864
11.5,0.004229797867179519,0.004230743197477758
12.0,0.013360142266479877,0.01336708304469608
12.5,0.03302659088208078,0.033065036720145366
13.0,0.06416256832430196,0.0643189015741367
13.5,0.09906864588253006,0.09950349325584099
14.0,0.12516482230252438,0.12578418776140574
14.5,0.13838218758157955,0.13750587266636635
15.0,0.14996333253582986,0.14183888853295093
15.5,0.1749791294993786,0.14819238855901004
16.0,0.21725551780707694,0.15769533697912114
16.5,0.2695593443650673,0.16852251857179087
17.0,0.32198478967609434,0.18497767091023432
17.5,0.36254831965839374,0.21451379718238242
18.0,0.37485387139415793,0.2588785489476261
18.5,0.346038937389945,0.3105350298558379
19.0,0.27949096548454033,0.35696359439279546
19.5,0.19669844703249403,0.39237246060978764
20.0,0.1264512323544916,0.42617008159583747
20.5,0.09159534483765668,0.473047580082241
21.0,0.10024554624057623,0.5326727508995557
21.5,0.142762252518354,0.5848950813683435
22.0,0.1961102746876199,0.6102439463997364
22.5,0.23663104458454554,0.6173060524670805
23.0,0.25465711701321037,0.6447350781914315
23.5,0.2601839194141881,0.7251225449749499
24.0,0.2776987394343285,0.8451782942827397
24.5,0.3343616250427001,0.9501579660454653
25.0,0.4398224042971621,0.9890676474761836
25.5,0.5656763082874847,0.9514342185630105
26.0,0.656458874809151,0.8654997021171157
26.5,0.6800792849475592,0.7702059313421007
27.0,0.6613032430506667,0.6873128969581148
27.5,0.6501104822452989,0.6138719472149136
28.0,0.6662676846045382,0.5410292617944489
28.5,0.6898981035973661,0.47743472116061425
29.0,0.6958306353689421,0.445344551442132
29.5,0.6794032249847424,0.45195277397445477
30.0,0.649437193165206,0.4718094111573453
30.5,0.6074124390204252,0.46259249413208137
31.0,0.5429830450446942,0.3997357955710874
31.5,0.45205937401531787,0.2980236359215657
32.0,0.3521499933751566,0.2028099525975288
32.5,0.2742973431528034,0.16137616206472127
33.0,0.24012712726299568,0.19569024081769096
33.5,0.24369987253830966,0.2882554024806956
34.0,0.25484163296675455,0.3881885134783903
34.5,0.24734635551675196,0.4426214141807971
35.0,0.2245137516444337,0.43432675584391833
35.5,0.20993007896620625,0.3887707581092646
36.0,0.21681972085828075,0.3453901104182294
36.5,0.23586795457118911,0.3271961454339069
37.0,0.2486120909859239,0.3321090078645556
37.5,0.24191134189835642,0.33921998889941113
38.0,0.21141991210285158,0.3217141407269172
38.5,0.16156952478501943,0.2657769226128451
39.0,0.10536354482392937,0.18342504022000197
39.5,0.059363281358744135,0.10317988152469604
40.0,0.03625183645430981,0.047105497128251954
40.5,0.043313325356884855,0.019511497748270937
41.0,0.086087362982511,0.014475335743262523
41.5,0.1675593438478882,0.02691479419445448
42.0,0.2790444755104612,0.053655662888175186
42.5,0.39147759069684424,0.08633328903014173
43.0,0.46162842403929244,0.10878651791739455
43.5,0.45757679272486906,0.1071759196147895
44.0,0.3840766403570927,0.08310646929202951
44.5,0.28094975172332415,0.0531071790736147
45.0,0.1945045843925441,0.03566855023264836
45.5,0.14789769235007413,0.04137840404235446
46.0,0.13212222650477987,0.07131667526483851
46.5,0.12123150325660959,0.11720696053802893
47.0,0.09761110300162139,0.1624643351827015
47.5,0.06387331598225092,0.18860541357833696
48.0,0.03307034395253087,0.18476631905282417
48.5,0.013514079536635387,0.1538449846189236
49.0,0.0048315422633643185,0.11226210303441875
49.5,0.003629401086115191,0.08230710807198165
50.0,0.009227577371679571,0.07915156953529133
50.5,0.024946664746985408,0.1012035383467538
51.0,0.05463622709437224,0.13269264372936057
51.5,0.09639205387162515,0.15683421095468053
52.0,0.1396349201663953,0.16582317622631768
52.5,0.17035015414104332,0.1582833512652239
53.0,0.17897449363271528,0.13397231859705913
53.5,0.16309444057789874,0.0968002908797989
54.0,0.12726762873575867,0.05792709401122919
54.5,0.08297925650667042,0.029703214694197975
55.0,0.04411848231797767,0.018638229949847332
55.5,0.018786619173207574,0.025926732426102148
56.0,0.00633474279022467,0.04968950452455939
56.5,0.0016804531822975893,0.08200468454294381
57.0,0.00034945080623739305,0.1068714873117374
57.5,5.6856083648358076e-05,0.1088777165186084
58.0,7.230379030119982e-06,0.08661428462273306
58.5,7.183054176870947e-07,0.05379739233363018
59.0,5.573161334251301e-08,0.026088460211141286
59.5,3.376573900107963e-09,0.00987758040965074
60.0,1.5973523331331186e-10,0.0029198970459379755
60.5,5.900083888024491e-12,0.0006739060178062527
61.0,1.701531223835766e-13,0.00012143558251591379
61.5,3.831257947308271e-15,1.7084702327613606e-05
62.0,6.735351094016563e-17,1.8766518110567143e-06
62.5,9.24475142457148e-19,1.609440101451963e-07
63.0,9.907081923344985e-21,1.0776575207094157e-08
63.5,8.289177835988354e-23,5.633801486080162e-10
64.0,5.414921626783356e-25,2.299519760418388e-11
64.5,2.761771983132419e-27,7.328035791864907e-13
65.0,1.0997610744106167e-29,1.8232778155182944e-14
65.5,3.419193854661089e-32,3.541872665278099e-16
66.0,8.299729685938503e-35,5.371899383038211e-18
66.5,1.5729648174861451e-37,6.361179131937787e-20
67.0,2.327495785758557e-40,5.881149392882482e-22
67.5,2.688893675437945e-43,4.2452339372877135e-24
68.0,2.4253431134337586e-46,2.3925216330888993e-26
68.5,1.7079988532753e-49,1.0527492707925251e-28
69.0,9.391107087405882e-53,3.6166697623591384e-31
69.5,4.031445945788781e-56,9.700800898835975e-34
70.0,1.3512002576990141e-59,2.031520256421535e-36
70.5,3.535846701875958e-63,3.321616988092139e-39
71.0,7.224070341362481e-67,4.240262849863006e-42
71.5,1.1523524631400342e-70,4.226207679663861e-45
72.0,1.4351706123020805e-74,3.2886959296613853e-48
72.5,1.3955215944941435e-78,1.9980733934529626e-51
73.0,1.0594596464152818e-82,9.477940602290485e-55
73.5,6.2798187325290025e-87,3.510195932276321e-58
74.0,2.906194164246705e-91,1.0149942093284051e-61
74.5,1.0500669140017582e-95,2.2914511355498587e-65
75.0,2.9622666768448246e-100,4.038987103161135e-69
75.5,6.5244838658456214e-105,5.5583918806065906e-73
76.0,1.1219745346808928e-109,5.972287255973417e-77
76.5,1.5063804415943623e-114,5.010107497685052e-81
77.0,1.5790692147091677e-119,3.281468428535078e-85
77.5,1.292356986808333e-124,1.6780474846885386e-89
78.0,8.25807177956677e-130,6.69969592511199e-94
78.5,4.1199281470615016e-135,2.088434062866821e-98
79.0,1.604779841298015e-140,5.082779550882666e-103
79.5,4.8804077560675705e-146,9.658209240351659e-108
80.0,1.158808272915822e-151,1.4328699536270815e-112
80.5,2.1482355313121354e-157,1.659708322898594e-117
81.0,3.109331551604699e-163,1.5009685682798132e-122
81.5,3.513718799258774e-169,1.0598057067815783e-127
82.0,3.100143525908756e-175,5.842459892316349e-133
82.5,2.1355582853311647e-181,2.5146645280320188e-138
83.0,1.1485658184090948e-187,8.450437647575083e-144
83.5,4.82297683326632e-194,2.21714030794261e-149
84.0,1.581209060509212e-200,4.541737018430382e-155
84.5,4.047419713454878e-207,7.263829128958042e-161
85.0,8.088761327994812e-214,9.070350831760153e-167
85.5,1.2621199438343231e-220,8.842954316272667e-173
86.0,1.5375670653789265e-227,6.731091703483136e-179
86.5,1.4624544094225931e-234,4.000262245412118e-185
87.0,1.086039033725797e-241,1.8561208502089062e-191
87.5,6.29685021997096e-249,6.724172795391376e-198
88.0,2.8504676823944604e-256,1.901894012596636e-204
88.5,1.0074504841240978e-263,4.199993199342364e-211
89.0,2.780008528913387e-271,7.241452614441692e-218
89.5,5.989400806303363e-279,9.748047329076069e-225
90.0,1.0074777303965696e-286,1.0245293283172273e-231
90.5,1.3231295339362889e-294,8.407095698719257e-239
91.0,1.3567008652230686e-302,5.386199273990654e-246
91.5,1.0861271511554e-310,2.6942238294668383e-253
92.0,6.78876e-319,1.052203540924801e-260
92.5,0.0,3.2083421353852536e-268
